ID,PC1,PC2,PC3,PC4,PC5,Class
0,-55.2507255,-13.99188651,28.48784185,0.158825911,-0.926406578,0
1,-56.87573501,-29.55518894,1.990486881,0.535853283,0.452357916,0
2,-59.14479234,-52.2664855,9.616902797,0.522321814,-1.009142815,0
3,-50.20537736,36.44161683,14.52707186,0.109211032,0.593673034,0
4,-55.70794783,-18.2754125,16.56741097,-0.237213203,1.206392891,0
5,96.88826338,-49.8365497,11.66631704,-0.444834916,-0.935362642,0
6,-53.12627637,7.961176875,-10.24300161,-0.35489318,0.562747946,0
7,-58.11120056,-41.68592503,-4.789009171,-0.356988317,0.463929556,0
8,51.36351562,7.066993211,14.04989773,-1.505808536,-0.088590144,0
9,-49.90133962,40.39214807,-28.00863236,-0.212752747,0.626392459,0
10,-55.67992115,-18.14095813,22.92726907,-1.230048932,-0.881098111,0
11,-48.8904817,49.9346834,-4.897534369,0.888244886,-0.110587719,0
12,-56.36168079,-24.02239636,-17.23950924,1.460678671,1.142214355,0
13,-49.21486723,47.27558752,-31.00695949,-0.774716467,0.661722247,0
14,-58.16160848,-41.93280812,-16.09640119,0.97335239,3.247737596,0
15,-52.15862529,17.27324907,3.677379487,0.241595602,-0.8606824,0
16,-58.24034031,-42.82896818,-11.12621228,-0.09197355,1.161352853,0
17,52.58960962,-50.02248358,-14.29408408,0.217423944,-0.254413788,0
18,-54.03932524,-1.049317754,-12.85021252,0.473640168,3.345428685,0
19,204.7152986,-27.24691213,21.94610866,-0.41862487,-0.872462726,0
20,106.2097899,-36.91454892,2.826869429,-0.406868746,0.508161788,0
21,113.1898766,72.20682986,10.79634671,0.106862812,-0.008166958,0
22,39.14105257,-44.22866522,3.31091347,-0.352634986,-0.937843343,0
23,-51.94982451,19.27641124,6.452581124,-2.011054521,-0.773694701,0
24,-44.47521693,93.7371022,-2.434181149,-1.554023543,0.773018524,0
25,-55.54547912,-15.98865543,-13.90011617,0.933404003,0.46897082,0
26,64.51263404,-41.28985191,-19.50910604,0.266166587,-0.94274722,0
27,-57.3485819,-34.37708194,7.767547796,1.090252903,-0.994698381,0
28,135.7968413,-42.22982099,-10.62171867,-0.439508166,-0.198016633,0
29,-58.38601585,-45.00392947,22.17078944,0.223983374,-0.987639924,0
30,-55.18319252,-13.16442144,21.395372,0.403539846,0.483461265,0
31,-52.201083,17.02928673,-4.808294352,-1.437046831,-0.796038802,0
32,-48.26677467,56.48624383,-21.32795021,-0.168388084,-0.760978043,0
33,143.790687,-12.79634527,-7.825423244,-0.343751478,0.563889303,0
34,231.3337756,-12.1522847,9.43614109,-1.286490285,-0.093731075,0
35,-51.95475523,19.74551727,-16.89662846,-0.556128467,-0.112243753,0
36,-54.20445082,-3.325377343,16.20481278,0.646892172,-0.212348027,0
37,-55.74393715,-18.46449442,8.790397188,-0.597842625,-0.900964647,0
38,-49.87102666,40.1199007,-1.11662901,3.045802971,0.496264709,0
39,-55.15123913,-12.03764363,-15.4105648,1.13986291,0.46947922,0
40,96.28957499,-35.75962608,9.210636512,-0.452670556,-0.199587273,0
41,-52.22712813,16.94398808,-11.86940084,2.533530612,3.303636281,0
42,-55.34812508,-14.49412706,7.28132747,0.407826463,-0.930189652,0
43,-59.39987281,-55.02027584,19.58580129,0.272052511,-1.008257557,0
44,-47.27938877,66.36253013,-24.39846922,-0.403140297,-0.731953651,0
45,152.9736047,-12.05585287,20.40368923,-1.780591103,-0.803003068,0
46,-55.77976713,-19.13292837,22.95173522,-1.106016464,-0.887668556,0
47,-46.33863669,75.11714528,3.691783271,4.433177709,-0.903540995,0
48,-57.44700093,-34.91459671,-12.73547482,-0.733991581,-0.213937609,0
49,-50.86495101,29.65703994,24.58935346,-2.242361492,0.664910081,0
50,411.3395647,78.56159359,17.04987543,-0.014435013,0.778689431,0
51,-56.40431481,-24.72915692,-4.49291114,0.603437632,-0.246326842,0
52,63.66004463,49.75225744,-3.286154234,2.595200524,0.556870021,0
53,-58.06388345,-41.42961481,5.108299396,0.266718273,-0.977021302,0
54,-57.06231638,-31.49437825,5.570749375,-0.94892471,-0.2048232,0
55,-49.78843443,40.99135014,-3.973072986,0.577957717,-0.824425269,0
56,-47.26458116,66.45191573,-21.56933673,0.489411423,-0.765890436,0
57,284.4291003,6.85517744,-24.50326679,0.33563107,0.612094143,0
58,75.52209684,-32.03199338,-7.047178224,0.957196547,3.293597541,0
59,-54.28649017,-3.754150946,-1.467698424,0.51440959,0.504742555,0
60,-58.33725509,-43.80960801,-10.39618864,-0.44815098,-0.950318565,0
61,-48.75501895,51.1091124,2.853286981,0.52004898,-0.804537691,0
62,-53.4336009,4.934842316,-11.58520494,-0.831369341,-0.840217297,0
63,-47.26447294,65.99363882,-0.336115465,1.663159883,-0.816994589,0
64,-51.7456844,21.33885838,5.703864227,1.764893009,-0.202483829,0
65,-46.66018179,71.48087556,22.86724658,-0.183613908,-0.03694223,0
66,-59.16378153,-51.90026429,-15.85639623,-0.089437433,0.437338682,0
67,-57.38443207,-34.58513714,0.696441528,-0.339223603,0.47549918,0
68,58.98917556,-56.51462264,-6.388898829,-0.178351596,-0.96087974,0
69,116.8450331,-40.56233815,-21.1824994,0.249108633,-0.928896981,0
70,-56.2892682,-23.64296218,-1.687900061,1.57175943,-0.281126533,0
71,-52.04581187,18.35568932,5.776745567,1.837286593,-0.211045136,0
72,-55.20126698,-13.24858362,17.15460213,0.960143834,-0.9513394,0
73,-58.49032796,-45.5448142,-0.449860278,0.276461248,-0.983746295,0
74,-49.25771472,45.62425726,24.91008999,-1.058001803,-0.055633437,0
75,69.31864929,-34.06320121,7.175812493,1.035831789,-0.964545821,0
76,-52.49420992,14.0868637,-3.320500713,-0.915684775,0.593520503,0
77,-55.31240333,-13.36741619,-28.11323182,-0.257748158,-0.89238159,0
78,-48.84041594,49.69705797,28.34846933,-0.636898261,0.643205214,0
79,-57.3146457,-34.21429634,15.54206097,0.199423804,-0.255971401,0
80,-56.8706791,-29.54042162,3.402293973,-0.419181287,-0.927666022,0
81,180.8411834,-23.85949826,-20.46228194,0.172328485,0.535099908,0
82,-48.30144579,56.29270531,-28.39802229,-0.998456953,0.686919463,0
83,-55.43205821,-15.42854902,11.54466748,-1.123659058,0.538924001,0
84,-52.24043148,16.41147742,6.534512921,3.109045945,0.445140876,0
85,-44.22626295,96.46192613,-13.81652552,-1.100671827,0.764943267,0
86,-50.90162164,29.94393787,-5.124370713,-2.097714204,0.669157562,0
87,-58.91931038,-49.20791061,-27.94705858,-0.360076316,-0.251213503,0
88,-52.89729064,10.09619026,-3.93026465,-0.743940414,-0.128104905,0
89,-57.38371735,-34.09400545,-21.24044387,0.460371699,-0.254223837,0
90,141.0881437,-39.66001872,-7.169316176,0.013472187,3.32816558,0
91,-58.06867127,-41.46482209,4.400413659,-0.404629077,-0.244267564,0
92,108.6112195,-42.60914165,-15.43691526,0.304606122,-0.93846261,0
93,-56.64774853,-27.91582854,30.23915991,-1.00513632,-0.910852559,0
94,-53.35845764,5.349933001,3.970198902,1.08331955,0.499719663,0
95,79.35241034,-34.17414428,4.299426564,-0.475537978,-0.90541657,0
96,108.1657522,-47.78382583,18.63904768,-0.27598918,0.47782173,0
97,-55.35950398,-14.54028022,4.455902135,1.466042172,0.446360961,0
